temp,atemp,hum,windspeed,mnth,hr,weekday,season,holiday,workingday,weathersit,cnt
0.24,0.2879,0.81,0.0,1,0,6,1,0,0,1,16
0.22,0.2727,0.8,0.0,1,1,6,1,0,0,1,40
0.22,0.2727,0.8,0.0,1,2,6,1,0,0,1,32
0.24,0.2879,0.75,0.0,1,3,6,1,0,0,1,13
0.24,0.2879,0.75,0.0,1,4,6,1,0,0,1,1
0.24,0.2576,0.75,0.0896,1,5,6,1,0,0,2,1
0.22,0.2727,0.8,0.0,1,6,6,1,0,0,1,2
0.2,0.2576,0.86,0.0,1,7,6,1,0,0,1,3
0.24,0.2879,0.75,0.0,1,8,6,1,0,0,1,8
0.32,0.3485,0.76,0.0,1,9,6,1,0,0,1,14
0.38,0.3939,0.76,0.2537,1,10,6,1,0,0,1,36
0.36,0.3333,0.81,0.2836,1,11,6,1,0,0,1,56
0.42,0.4242,0.77,0.2836,1,12,6,1,0,0,1,84
0.46,0.4545,0.72,0.2985,1,13,6,1,0,0,2,94
0.46,0.4545,0.72,0.2836,1,14,6,1,0,0,2,106
0.44,0.4394,0.77,0.2985,1,15,6,1,0,0,2,110
0.42,0.4242,0.82,0.2985,1,16,6,1,0,0,2,93
0.44,0.4394,0.82,0.2836,1,17,6,1,0,0,2,67
0.42,0.4242,0.88,0.2537,1,18,6,1,0,0,3,35
0.42,0.4242,0.88,0.2537,1,19,6,1,0,0,3,37
0.4,0.4091,0.87,0.2537,1,20,6,1,0,0,2,36
0.4,0.4091,0.87,0.194,1,21,6,1,0,0,2,34
0.4,0.4091,0.94,0.2239,1,22,6,1,0,0,2,28
0.46,0.4545,0.88,0.2985,1,23,6,1,0,0,2,39
0.46,0.4545,0.88,0.2985,1,0,0,1,0,0,2,17
0.44,0.4394,0.94,0.2537,1,1,0,1,0,0,2,17
0.42,0.4242,1.0,0.2836,1,2,0,1,0,0,2,9
0.46,0.4545,0.94,0.194,1,3,0,1,0,0,2,6
0.46,0.4545,0.94,0.194,1,4,0,1,0,0,2,3
0.42,0.4242,0.77,0.2985,1,6,0,1,0,0,3,2
0.4,0.4091,0.76,0.194,1,7,0,1,0,0,2,1
0.4,0.4091,0.71,0.2239,1,8,0,1,0,0,3,8
0.38,0.3939,0.76,0.2239,1,9,0,1,0,0,2,20
0.36,0.3485,0.81,0.2239,1,10,0,1,0,0,2,53
0.36,0.3333,0.71,0.2537,1,11,0,1,0,0,2,70
0.36,0.3333,0.66,0.2985,1,12,0,1,0,0,2,93
0.36,0.3485,0.66,0.1343,1,13,0,1,0,0,2,75
0.36,0.3485,0.76,0.194,1,14,0,1,0,0,3,59
0.34,0.3333,0.81,0.1642,1,15,0,1,0,0,3,74
0.34,0.3333,0.71,0.1642,1,16,0,1,0,0,3,76
0.34,0.3333,0.57,0.194,1,17,0,1,0,0,1,65
0.36,0.3333,0.46,0.3284,1,18,0,1,0,0,2,53
0.32,0.2879,0.42,0.4478,1,19,0,1,0,0,1,30
0.3,0.2727,0.39,0.3582,1,20,0,1,0,0,1,22
0.26,0.2273,0.44,0.3284,1,21,0,1,0,0,1,31
0.24,0.2121,0.44,0.2985,1,22,0,1,0,0,1,9
0.22,0.2273,0.47,0.1642,1,23,0,1,0,0,1,8
0.22,0.197,0.44,0.3582,1,0,1,1,0,1,1,5
